Name,Adversity Index,Socioeconomic_Score,Socioeconomic_Evidence,Environmental_Score,Environmental_Evidence,ResourceAccess_Score,ResourceAccess_Evidence,Instability_Score,Instability_Evidence,Physical_Score,Physical_Evidence,Physical_Evidence,Underrated_Score,Underrated_Evidence,Geographic_Score,Geographic_Evidence
Izan Almansa,36,4,1,2,5,5,3,3,1,4,3,0,2,0,1,2
Ace Bailey,40,2,3,4,4,3,2,0,5,0,5,2,0,2,5,3
Brooks Barnhizer,39,5,2,0,4,0,4,3,1,0,4,5,5,3,1,2
Tamar Bates,33,0,0,1,3,5,0,2,3,4,0,5,2,1,2,5
Joan Beringer,48,4,3,5,4,3,3,3,1,3,1,2,3,4,5,4
Nate Bittle,40,1,0,4,5,1,3,4,1,5,1,2,5,3,0,5
Koby Brea,41,1,1,4,4,4,2,2,1,3,5,5,1,2,5,1
Johni Broome,30,5,1,3,1,0,0,2,3,4,0,2,1,0,5,3
Carter Bryant,38,4,1,3,1,4,0,4,0,3,0,2,4,4,5,3
Andrew Carr,32,3,2,3,3,5,0,3,1,4,1,0,4,3,0,0
Walter Clayton Jr.,28,3,0,1,0,0,0,2,5,5,1,1,1,2,3,4
Nique Clifford,40,4,2,4,1,0,1,3,5,2,3,0,3,4,5,3
Cedric Coward,31,0,1,3,5,4,5,0,1,3,0,3,4,0,1,1
Sergio De Larrea,45,5,5,4,5,1,1,3,5,2,1,1,4,1,5,2
Egor Demin,40,5,1,1,1,2,3,5,1,2,5,3,5,2,1,3
Mohamed Diawara,37,4,5,5,1,1,0,5,1,1,2,1,3,0,3,5
Eric Dixon,33,3,3,0,3,0,4,0,0,4,2,1,4,3,3,3
VJ Edgecombe,31,5,1,0,0,2,2,5,1,3,5,1,1,1,1,3
Zuby Ejiofor,39,3,5,4,3,3,2,2,1,4,1,3,1,1,5,1
Noa Essengue,47,3,4,1,5,4,0,3,4,4,4,1,3,5,2,4
Jeremiah Fears,36,3,1,3,3,0,1,4,2,4,4,3,2,1,3,2
Cooper Flagg,41,4,5,4,4,2,2,2,1,5,0,0,5,3,2,2
Rasheer Fleming,34,4,0,2,0,5,2,1,1,4,2,1,4,1,3,4
Vladislav Goldin,43,4,4,3,3,3,4,0,2,4,2,3,1,5,3,2
Hugo Gonzlez,40,3,1,3,2,1,3,4,5,2,5,4,4,0,2,1
Caleb Grill,36,4,3,1,4,3,4,0,4,2,1,0,3,1,4,2
Yang Hansen,43,5,4,0,1,3,4,0,2,5,5,3,5,2,3,1
Dylan Harper,46,2,0,5,2,5,2,3,2,4,1,4,5,5,4,2
Coleman Hawkins,40,0,3,3,4,4,5,4,3,3,3,0,3,4,0,1
Chucky Hepburn,36,5,0,3,0,5,0,1,4,5,1,4,2,2,2,2
Kasparas Jaku_ionis,47,4,4,2,3,5,1,5,2,3,3,2,4,5,2,2
Sion James,36,0,1,5,0,2,4,1,3,4,2,0,1,4,5,4
Tre Johnson,36,4,5,0,1,1,2,4,3,1,0,4,4,3,1,3
Kam Jones,38,2,1,4,3,4,4,2,5,0,3,4,1,1,3,1
Ryan Kalkbrenner,42,1,4,5,5,4,2,4,1,2,0,4,3,1,3,3
Alex Karaban,38,3,1,2,5,3,2,1,1,1,2,2,5,3,2,5
Kon Knueppel,45,4,4,0,2,2,5,3,5,5,3,5,1,2,1,3
Viktor Lakhin,32,3,2,0,5,0,0,0,5,4,2,3,1,5,1,1
Chaz Lanier,42,4,0,5,3,4,4,3,4,4,4,2,0,2,2,1
Caleb Love,31,4,1,1,3,5,0,0,2,4,0,4,1,1,5,0
RJ Luis Jr.,41,2,1,0,2,0,1,5,4,4,5,5,5,2,5,0
Khaman Maluach,39,5,1,0,2,4,1,4,5,5,0,1,5,3,3,0
Bogoljub MarkoviÄ,33,3,3,4,4,1,1,0,4,4,0,2,5,0,0,2
Alijah Martin,35,3,3,5,4,0,2,4,2,1,2,5,1,1,0,2
Jahmai Mashack,44,2,5,4,5,3,2,4,4,0,5,0,3,3,0,4
Liam McNeeley,32,5,2,2,2,0,0,3,1,0,5,0,4,4,0,4
Igor Mili_i_ Jr.,31,3,0,0,1,5,5,2,4,1,5,0,2,1,1,1
Collin Murray-Boyles,26,1,1,2,1,0,0,1,3,4,1,0,4,4,0,4
Ryan Nembhard,38,3,0,1,2,1,2,5,1,4,4,2,3,4,5,1
Asa Newell,44,5,1,5,2,2,0,2,5,5,3,2,0,4,5,3
Saliou Niang,36,4,0,1,2,2,4,0,5,1,2,0,5,5,0,5
Yanic Konan Niederhauser,28,1,1,2,0,3,1,4,0,1,4,2,0,5,4,0
Lachlan Olbrich,33,0,2,4,2,2,5,4,0,5,1,1,3,4,0,0
Clifford Omoruyi,36,4,2,2,4,2,1,0,5,2,3,0,3,3,5,0
Dink Pate,41,2,2,5,1,0,3,5,4,3,4,0,5,1,3,3
Micah Peavy,37,4,2,2,1,1,0,4,3,5,0,4,4,3,3,1
Noah Penda,42,2,4,1,1,2,5,2,4,4,3,3,3,3,2,3
Taelon Peter,48,0,3,4,4,4,3,5,1,5,4,5,3,3,2,2
Drake Powell,38,0,5,5,3,0,5,5,1,1,1,3,0,3,2,4
Tyrese Proctor,33,4,1,1,1,0,0,4,3,4,4,3,4,0,0,4
Derik Queen,39,1,0,2,4,2,3,2,0,2,5,3,4,4,4,3
Maxime Raynaud,42,4,3,3,5,0,3,4,0,5,3,0,4,3,0,5
Will Richard,42,4,3,2,4,4,5,1,1,4,0,4,2,1,4,3
Jase Richardson,36,0,4,4,1,2,1,0,5,2,3,3,4,3,3,1
Will Riley,39,2,2,3,2,3,0,3,5,1,0,4,5,2,3,4
Jaxson Robinson,37,2,4,0,2,1,0,3,4,5,3,3,5,1,0,4
Michael Ru_i_,38,1,1,0,2,2,4,3,4,2,5,4,3,4,3,0
Hunter Sallis,36,1,1,2,3,1,3,3,2,4,2,5,3,4,0,2
Kobe Sanders,38,3,4,0,0,5,3,2,5,4,0,4,0,4,2,2
Payton Sandfort,44,5,5,2,0,3,5,1,1,1,3,4,3,4,2,5
Ben Saraf,38,3,0,3,5,1,4,4,5,0,1,5,2,3,0,2
Mark Sears,35,4,2,1,3,3,5,3,0,3,0,0,4,5,1,1
Max Shulga,40,3,5,1,3,4,0,4,0,2,2,4,4,3,1,4
Javon Small,49,5,1,0,4,3,1,3,5,5,5,1,2,5,4,5
Thomas Sorber,35,2,3,0,2,4,3,2,2,0,2,1,1,3,5,5
Adou Thiero,17,0,0,1,5,2,0,1,3,0,0,0,0,3,2,0
John Tonje,42,0,4,5,3,5,0,0,3,4,4,2,5,1,1,5
Alex Toohey,37,4,5,3,2,2,1,5,3,1,2,2,1,3,0,3
Nolan Traor,30,0,2,1,4,5,0,5,4,0,1,1,0,3,1,3
Jamir Watkins,39,1,2,3,5,1,2,3,3,5,5,0,0,3,3,3
Brice Williams,39,1,0,0,5,0,4,5,0,4,3,5,4,1,5,2
Amari Williams,29,4,1,0,0,2,5,2,2,1,2,1,2,0,4,3
Danny Wolf,40,1,0,4,4,5,1,1,0,2,1,5,5,3,3,5
Rocco Zikarsky,36,1,5,3,4,0,3,2,5,0,0,1,4,1,2,5
nan,38,5,1,0,1,3,4,1,4,1,5,4,0,4,4,1
Melvin Ajinca,37,4,0,4,2,2,0,0,2,5,3,2,4,5,4,0
Trey Alexander,32,3,4,3,2,2,1,0,2,4,5,1,0,1,0,4
Reece Beekman,40,1,0,1,1,4,4,5,3,5,0,4,2,5,5,0
Adem Bona,36,2,4,4,2,1,2,0,3,2,2,1,4,2,3,4
Jalen Bridges,48,3,4,2,0,5,2,5,1,5,5,2,2,5,3,4
Matas Buzelis,32,1,0,5,5,0,2,3,1,5,0,2,1,4,1,2
Carlton Carrington,43,3,3,0,5,4,3,5,1,2,3,2,5,2,4,1
Devin Carter,44,4,3,5,1,1,0,2,4,4,4,5,4,4,2,1
Stephon Castle,39,3,5,4,3,4,1,2,2,2,0,3,0,2,3,5
Ulrich Chomche,46,1,5,3,1,0,4,4,0,5,4,4,3,3,5,4
Cam Christie,40,2,4,4,1,1,4,4,4,0,5,0,5,2,1,3
Donovan Clingan,40,0,1,1,3,3,2,3,2,4,5,4,3,3,1,5
Isaiah Collier,41,1,5,3,1,1,3,0,4,5,2,5,5,2,2,2
Pacome Dadiet,34,4,3,1,5,1,1,5,5,3,0,2,0,1,2,1
N'Faly Dante,42,4,2,2,1,3,5,4,0,1,4,3,2,5,1,5
Rob Dillingham,29,0,3,0,2,0,3,2,4,1,0,1,5,1,4,3
Nikola Djurisic,48,3,4,1,1,1,1,3,5,4,2,5,5,4,4,5
Ryan Dunn,32,0,4,0,1,2,5,3,1,2,4,3,2,2,0,3
Zach Edey,27,1,1,0,1,0,2,1,5,0,4,3,5,1,2,1
Justin Edwards,45,5,0,5,0,2,5,1,4,5,3,4,5,1,3,2
Jesse Edwards,41,4,3,3,5,2,5,2,2,3,2,4,5,1,0,0
Kwame Evans,32,3,5,5,1,1,1,1,4,3,5,0,0,3,0,0
Kyle Filipowski,33,0,4,1,1,4,3,0,3,2,2,1,3,2,2,5
Trentyn Flowers,32,0,2,2,3,5,4,2,1,0,1,1,2,2,3,4
Enrique Freeman,41,1,4,5,0,4,4,1,2,0,4,1,5,5,4,1
Johnny Furphy,36,5,4,0,3,0,3,5,4,2,0,3,0,5,0,2
